"","MMT00000044","MMT00000046","MMT00000051","MMT00000076","MMT00000080","MMT00000102","MMT00000149","MMT00000159","MMT00000207","MMT00000212","MMT00000231","MMT00000241","MMT00000268","MMT00000283","MMT00000334","MMT00000365","MMT00000368","MMT00000373","MMT00000384","MMT00000401","MMT00000418","MMT00000464","MMT00000517","MMT00000525","MMT00000549","MMT00000550","MMT00000602","MMT00000608","MMT00000701","MMT00000713","MMT00000719","MMT00000743","MMT00000792","MMT00000793","MMT00000801","MMT00000840","MMT00000864","MMT00000887","MMT00000963","MMT00000988","MMT00000996","MMT00001022","MMT00001077","MMT00001085","MMT00001100","MMT00001110","MMT00001154","MMT00001185","MMT00001190","MMT00001245","MMT00001260","MMT00001291","MMT00001298","MMT00001318","MMT00001373","MMT00001387","MMT00001394","MMT00001397","MMT00001423","MMT00001434","MMT00001486","MMT00001496","MMT00001510","MMT00001545","MMT00001555","MMT00001587","MMT00001596","MMT00001613","MMT00001646","MMT00001675","MMT00001698","MMT00001714","MMT00001732","MMT00001791","MMT00001806","MMT00001923","MMT00001947","MMT00001949","MMT00001995","MMT00002002","MMT00002004","MMT00002021","MMT00002022","MMT00002037","MMT00002042","MMT00002046","MMT00002048","MMT00002050","MMT00002099","MMT00002102","MMT00002151","MMT00002160","MMT00002161","MMT00002175","MMT00002209","MMT00002227","MMT00002238","MMT00002272","MMT00002304","MMT00002330"
"MMT00000044",0.999999999999999,0.0123864014738233,0.0266792318180524,0.0587969943349837,0.0336456519760634,0.0231752221189237,0.00751246681320064,0.0171528232601144,0.0258945030051275,0.0120361773913106,0.0199718561512291,0.00623744548801738,0.00358965877770969,0.0159051879094632,0.0209922541814673,0.00348993644130169,0.00955495889215995,0.0121190201844261,0.0131740853396946,0.00772882636578411,0.0187082269573122,0.00626780070166518,0.0307393725513372,0.0160915803222559,0.00702066163293956,0.00631349315633495,0.0178702282415586,0.0144654097461218,0.00872540076083706,0.0302604909714876,0.00732998981804766,0.00584040843126169,0.00382582407429954,0.0392134927482676,0.000779710136689467,0.0156312029838957,0.0350621881008052,0.0241569636887004,0.00657433243224423,0.0134164176836678,0.0126939708652381,0.0251926565570088,0.00550272148905476,0.0216904806404943,0.0138653290141896,0.00291560958494484,0.0153739997744055,0.012072651805786,0.0269090031162327,0.0099297666561436,0.0119682092702113,0.0034853283185728,0.105944687505743,0.0357081228883625,0.00520230828567419,0.0145041523698505,0.0167644232800519,0.037477622992513,0.00346084220921799,0.0426795003328342,0.031130570228221,0.00412660147438623,0.00663124898181722,0.00328728041975997,0.0100431513179646,0.0793466962638446,0.0191482731504093,0.0205980775878372,0.00627478549865601,0.0074407595340152,0.0174421277207137,0.00974427786418198,0.00618713041002546,0.0256517366350248,0.0230453819860916,0.00873505196982216,0.00846142124828108,0.0201025461505705,0.0119682069202791,0.0112784699094349,0.00468519021611998,0.0118422682777475,0.00379121903003676,0.00853325789230825,0.0461982039664416,0.0373338052752314,0.00480295413634823,0.0109595637782691,0.0118406754376812,0.0100052373336091,0.0176132572783645,0.00619654981066369,0.0170801171606419,0.0132312685678618,0.0191990876361579,0.0198766762786688,0.0170229629204281,0.0299913342174012,0.0263639409172753,0.00971452077558158
"MMT00000046",0.0123864014738233,0.999999999999999,0.000107423694101821,0.0130677008331087,0.0105800507643413,8.74167773896591e-05,0.0604787229857557,0.00831457349892862,0.0419325501761152,0.112654298550534,0.235628457306738,0.00986652573363279,0.0216266035912968,0.033265625413246,3.68035462415994e-05,0.0128757012850563,0.0982021221287191,0.0195208732698733,0.0901627382147924,0.01530860683625,0.00905548705547924,0.315182756560916,0.000706656877538525,0.00331994113147586,0.0101732371246667,0.0836077654169453,0.000102810512271052,0.0550509249067897,0.0652646007992566,0.023748710532797,0.0301474341983837,0.0113125928269272,0.0178578478852011,0.0037498353873472,0.0324796061426741,0.0616254768744879,0.0154972560660241,0.00216834317650797,0.117421719587355,0.0303691984972594,0.157403417922489,4.05072689937839e-05,0.0844552309109194,0.00186808276990907,0.000937229686735358,0.0374884097770442,0.0121717454940557,0.0082863313996455,0.0337895717933805,0.0466889558267272,0.0130578057427293,0.0259387782034683,0.00558553457878569,0.000270960197117474,0.262225486301174,0.041730878385761,0.0144675092303932,0.000160055390604431,0.021311274079563,4.22879860100097e-06,0.0477005941576112,0.160953151680076,0.132451475244407,0.00865645549163427,0.0380564077705187,0.000215948002989369,0.0159160095569773,9.6160924965699e-05,0.0015111817665508,0.000372472030887433,0.00829250857006932,0.0024612030148219,0.0304839415536293,0.00762148171674411,0.00858254236366493,0.0121333482256884,0.165301179286516,0.0223386762328108,0.037292533867039,0.0355435977341171,0.0215635149048669,0.00991089751554297,0.143334218319127,0.0123653778319747,0.0288212721407072,0.00197317281436823,0.0231359667338914,0.00263037518785254,0.000149940083051331,0.0393356555807433,0.00130577190605829,0.20167208791661,0.00294262092434262,0.0179579701741567,0.00422690921708236,0.0739718605572424,0.00012678778313642,9.14962116704642e-05,0.0183912955436142,0.259137434845196
"MMT00000051",0.0266792318180524,0.000107423694101821,1,0.022315356284519,0.011182940503743,0.0248827959016268,0.00292282344676886,0.225673092321531,0.00101467653241545,0.000437289913879398,0.000180236641963181,0.0396950648085567,0.0124184515860114,0.0200471325495193,0.224673222966171,0.0206249264308069,0.00956667560252394,0.0281669980143803,0.00632085785062087,0.00238553580693319,0.0393628679306089,0.000112267949843046,0.16405794171906,0.0612889424983541,0.0527813998797825,0.00180070496044755,0.0996043448595123,0.00923131544385671,0.00312545045321911,0.0148549473134671,0.00353314350518008,0.055729537988812,0.017854551986625,0.254297028388075,0.00462277569223792,0.0321148550435362,0.00543400073520954,0.00601903244437788,0.00383411396140108,0.0327976423326446,0.000635869408432527,0.206657884153375,0.00839747363769615,0.174048652929428,0.0714445237857235,0.00214339526815473,0.1922871199381,0.104932021219276,0.00389491881852246,0.0622736710429278,0.177597400535656,0.00650041032967423,0.0346133975543143,0.544734190625732,0.000217643610590477,0.0135221607001553,0.0539773913800024,0.18021917668157,0.0170193471457414,0.267529368825602,0.0319977134735062,0.000247564444503511,0.00034685777633735,0.0306250425610216,0.00287163749454646,0.174939573923077,0.0386088369829237,0.0909882511731771,0.0389694736982115,0.106962283445014,0.164619747141934,0.0138082977658069,0.00887178308240404,0.0258557434610691,0.0915389335880909,0.0110620708658963,0.000213979293395763,0.023634610147167,0.0206213123465829,0.0379917002887322,0.0163018970868526,0.00852406707395851,0.000736842725098185,0.0619548841346102,0.00319218738402711,0.0994677452068729,0.0168581062088529,0.0156858724030937,0.0884295871640762,0.0225363030874914,0.0541436216023186,5.8871362058603e-05,0.0540339067925718,0.0196533909192553,0.168452852467962,0.000990885491448297,0.115834323682271,0.311955405143768,0.0164074048721427,0.000254096904595751
"MMT00000076",0.0587969943349837,0.0130677008331087,0.022315356284519,1,0.0135657579250554,0.0147628538672104,0.0100330744884335,0.0257820379503946,0.0298211871456594,0.00481153809004368,0.014572379713233,0.0249856144899993,0.014673897630904,0.0242746413406952,0.017007405035678,0.0105655407481483,0.0177365577456831,0.0246914335063207,0.00947261455574981,0.0114202090817661,0.0212593022008087,0.0167263815958964,0.0246815006621254,0.0150616046873354,0.0147307714459692,0.0119493969326072,0.0181865618837916,0.0180176740867675,0.00870592603342133,0.0169935004274876,0.0196154968954314,0.0481047179607367,0.024196393690658,0.037481884758985,0.00741761470835267,0.0284688473196341,0.0210396802825517,0.00903299718873184,0.0265437296660293,0.0335698322449103,0.00659862695944154,0.0231242598924761,0.0272629187519034,0.0095339087705679,0.0175687585101033,0.0116600020765523,0.0269349744383609,0.0454759950458081,0.00937657518017347,0.0265476778567318,0.0399893653365044,0.00904806295409521,0.0505588699766647,0.017233619112865,0.0269961893791195,0.0185754274930676,0.0233287579873498,0.0172666463840979,0.0144703528905182,0.0164841894179337,0.0254537644671256,0.00690601328518403,0.0077374049836324,0.0142249702679235,0.0104813258196471,0.0242417342821415,0.0118196304207047,0.0129350698184445,0.0289794085498099,0.0180856377144206,0.0191591707382455,0.0134068562632672,0.0203361140303256,0.00875595752420691,0.0291732297273634,0.00909348591543891,0.00685348916625821,0.00973440742399468,0.0111124996272011,0.0183918542013032,0.0154896773485381,0.0314481816548188,0.00939403487652649,0.0370083171429705,0.0163486042764467,0.0264651991670264,0.0160632457587707,0.0119454866809454,0.0229298218615076,0.0213901714978477,0.0203512315852701,0.0110927600485787,0.00374796158880023,0.0184203525374484,0.0288729220962562,0.0538298384641175,0.0175232672160392,0.0206726713257572,0.0380445802302675,0.0092752560192347
"MMT00000080",0.0336456519760634,0.0105800507643413,0.011182940503743,0.0135657579250554,1,0.00913727877674638,0.0286788058566254,0.00886855966048775,0.165683264987153,0.0203072767630459,0.00267989343406849,3.67126139876639e-05,1.44338695986029e-05,0.00310092468278286,0.00338035982763469,0.000177985960756943,0.0002172085444892,0.0361493279526856,0.011479646062986,0.00614528088339404,0.0469574401696397,0.0222062630527764,0.00322838736998329,0.0277154205607984,0.00206119726916585,0.0305047781044236,0.0533492253947111,0.0234236637324077,0.00746313126855476,0.0135997425229713,0.000172577430688761,0.00941231316618626,6.11847929432023e-05,0.00174932198834398,0.0232571536502015,0.00453406097018019,0.0277808135266169,0.0288720579664279,0.0120201630484586,0.0123981541797627,0.039845614777765,0.00842150518393987,0.00441058460867324,0.0528552619136096,0.033671782697254,0.000253610087961122,0.00377633897536341,0.0163530004157467,0.0705822546692268,0.00385449277198605,0.00354646250268255,8.86846781672734e-05,0.00774124954263665,0.00609348395195172,0.000434311960015815,0.00270831794325893,0.00302870528414636,0.0141838389375279,2.72474633688844e-05,0.00353951725945307,0.016259896477076,0.00018416594874972,0.0240380978355567,0.000140559654409523,0.0364785704719403,0.0478050781173288,0.00372284150579074,0.0330750619547485,0.00678798893724063,0.0193924494086623,0.00650195282784291,0.0100442114605921,3.75345863402565e-05,0.400684723168766,0.00260956585278815,0.019709916395162,0.00477081763090957,0.0115203586190491,0.0348792620760549,0.0110378507849623,3.5060312432484e-05,0.017979948105697,0.00340054759337887,0.00216402507267494,0.212415551661863,0.0011906146842044,2.82721231069891e-05,0.019013345395157,0.00219162181221227,0.00461045687968646,0.0131845964280041,0.00193260265301604,0.0207884722819835,0.0042045467833106,0.00125635066013162,0.0486373298946334,0.000610147899604146,0.0143346386033372,0.0405804713256704,0.0382897105618744
"MMT00000102",0.0231752221189237,8.74167773896591e-05,0.0248827959016268,0.0147628538672104,0.00913727877674638,1,0.00258161856962796,0.000807519055736932,0.0191868331072858,0.00864275366701781,0.00630376015966612,0.0261289768354572,0.0200285248375449,0.00952430074728727,0.0802743768908865,0.0184943073076148,0.0034655173132773,0.0039726010330585,0.000525653195048977,0.0382970099311509,0.0103962625010578,0.00172967026729128,0.0469963758302039,0.0265024340167817,0.0075932033578198,0.00395256152478601,0.0585801679037153,0.00225718793128279,0.00582070477417443,0.0068003307223063,0.0409449618283127,0.00348922615908363,0.0227049642951059,0.0125568967719401,0.00593158459662532,0.000753481550501279,0.0372296948638423,0.239539915217441,0.00136442757881572,0.00279073480379881,0.00934202627987162,0.142354916682643,0.000918453603663615,0.0062512633563983,0.0428167962158761,0.0370512143710302,0.000979855407889692,0.00173127786224582,0.0084345466664819,0.000536744020185365,0.00105087471652043,0.0192372387857165,0.0298817477514402,0.0272811606177137,0.00297588724231051,0.00394333613653782,0.0104984329411759,0.0568351751903829,0.0170189165896785,0.191289578890923,0.000917187831393941,0.0107354162274565,0.00184268673188886,0.0218781242376359,0.0219529280335351,0.0703819421950268,0.0213243069987782,0.113052682658416,0.083493966678653,0.0430773921753669,0.00235345790196147,0.228594543104413,0.02692849636671,0.010147210038834,0.00561335967746042,0.0192131848199253,0.00746010387156947,0.0142333544592346,0.00175375350299065,0.000170691871313116,0.015669505350921,0.0331948860189972,0.00862390748834561,0.0106660291960818,0.0203583312696833,0.104481239440076,0.0159916954912621,0.0891975409582318,0.146574087472982,0.00294523520825303,0.0819583672997112,0.0086806389959407,0.0230348706142961,0.0245439051951129,0.00571563259195823,0.0133390015296787,0.195121869650959,0.0274363544147552,0.00847350004750014,0.00116097059718052
"MMT00000149",0.00751246681320064,0.0604787229857557,0.00292282344676886,0.0100330744884335,0.0286788058566254,0.00258161856962796,1,0.00753594851814767,0.179191015801976,0.0448942133378357,0.00882501076367432,0.000888644981023011,0.00467965114122042,0.234258126756166,0.00095870061136731,0.0126311763229103,0.0254667761075864,0.0062961046484849,0.0501817466545686,0.0323746273384891,0.228687092525,0.0594249345540362,0.000850792202979576,0.136890244699639,0.00761497589581376,0.483315687996555,0.00885292817743815,0.0169140482809541,0.0744248318785037,0.0141202460810031,0.0145696128970302,0.00276521214116188,0.00248362752721083,0.00105436391287407,0.0840397613141404,0.0129314380482497,0.00913438115122379,0.00399190145748789,0.0390343255915089,0.0259478016775699,0.0898956119487536,0.00651295769437416,0.071360721867839,0.00350831736689629,0.0078829200050053,0.0272678884598307,0.0190784654096303,0.0128747007513399,0.321661715128692,0.0106012915818857,0.00921735920221912,0.0110077170348592,0.00802996307623193,0.00249303768389072,0.0294524516656559,0.00219783299618108,0.16022567945316,0.000854325116697365,0.00558696679114145,0.00022278411161798,0.0116770891819948,0.0368589805046073,0.195553892827198,0.00160716812531725,0.256792375553835,3.51892008121558e-05,0.00679870255532396,0.00311972427739006,0.0813632541342792,0.00433965612523694,0.00561507051701776,0.0282396865937239,0.00801337344196319,0.0215961113601189,0.00361343928396618,0.0134462535285854,0.00817201127942371,0.0175054589793637,0.0149020847928325,0.0569733856183067,0.00582908768057817,0.00629717180879785,0.263767718703305,0.00486582353769184,0.10005702873249,1.20259952942301e-05,0.00518929759774796,0.0138239167766918,0.0011162642547425,0.0456668282122542,0.0621571243921458,0.06108945831234,0.00394592001842906,0.0268766387012128,0.00672256553014711,0.14766237877053,0.00102901755741703,3.13965273888391e-05,0.260072373793341,0.260561299439396
"MMT00000159",0.0171528232601144,0.00831457349892862,0.225673092321531,0.0257820379503946,0.00886855966048775,0.000807519055736932,0.00753594851814767,1,0.000701679223206757,0.00122671643340422,0.00109347836395714,0.0437877641319197,0.0219144167586136,0.00740498968484971,0.0511898972191144,0.0241931367437908,0.0235772604760869,0.0516020921879625,0.0252091908083754,0.000742906785790316,0.0331168181869115,0.00182013822613231,0.0654927817719489,0.0284040087284813,0.0818912498201328,0.00508579654405566,0.0279951722115692,0.0370010017288147,0.0151479974933249,0.0327339610173841,0.00196877479156397,0.0831955872224494,0.0219802787580719,0.255218805435724,0.00604264906268971,0.111964873713303,0.00647977123628099,0.00114519821196025,0.0272988402235129,0.110640754892792,0.00177800101474017,0.0203494890798259,0.0524039002941359,0.228284760113132,0.0243414690507511,0.0028870693718114,0.629533390804711,0.145417008722041,0.00662042538914807,0.442059124985752,0.651586210279051,0.0118090649286117,0.0276552637486811,0.232046861497634,0.0030091047680863,0.0472993128408472,0.0528882389068264,0.0428481280584522,0.0343361120483289,0.0364548632223791,0.0444938977089188,0.00137398724798827,0.00336373564728006,0.0284282704655959,0.00657540749086033,0.0516420119705239,0.0222475772955844,0.0236264022828036,0.00919522445825521,0.0393056071246988,0.513997416833401,0.00161293572633997,0.014142646623549,0.0154307688078783,0.145063692034339,0.0124052303978084,0.00082361422687489,0.0221364752301433,0.0526107426348006,0.0710935170595244,0.0319383955418634,0.00794743834560325,0.00200935038346139,0.047420773226539,0.00157352095492578,0.0234020418117185,0.0326927258879164,0.00344886071352517,0.0154706262906469,0.0610682172486915,0.0139611985064337,0.000397684487414199,0.0178140583497916,0.0109307202036753,0.125860566814154,0.00180282689144068,0.0226172477496159,0.184636985875496,0.0129934432882035,0.00534665746196383
"MMT00000207",0.0258945030051275,0.0419325501761152,0.00101467653241545,0.0298211871456594,0.165683264987153,0.0191868331072858,0.179191015801976,0.000701679223206757,1,0.0691043273648825,0.0222769591218301,0.000164302063679777,0.00120337567320627,0.0783885804232631,0.000896164818773507,0.00287754342127104,0.00329092729366713,0.00939191783738583,0.0124796672653981,0.0433678258519675,0.0835144335827939,0.0775459079239818,0.000326024319711034,0.0767547563971857,0.00141741057414683,0.202009606452894,0.00831965473500113,0.0168369019790804,0.0241257916206078,0.00600004145545856,0.0178446777481873,0.00185681507621571,0.000436814407356949,0.00015458676765275,0.0331738808147103,0.00124215136807225,0.024583703453252,0.0323829043294803,0.0137161635016836,0.00707076590909749,0.156445153026408,0.0128739452334061,0.00915301357245001,0.00204995199674468,0.0102465861430978,0.0108311767455793,0.00136226302053165,0.00121746381043807,0.186151396799545,0.00187689617589351,0.000515995054002499,0.00749237661845425,0.015629113163867,0.000542394685596036,0.018761993913013,0.00246308368003207,0.0371804858863291,0.00276022237028381,0.000833120383118894,0.00127108218364781,0.00876789226670872,0.016007336113049,0.110116480634481,0.000354100298942708,0.174027769887768,0.00248550822141533,0.00463801197784481,0.00575319040983053,0.0451344387636987,0.00485163939535154,0.0013394207317469,0.0422814934539017,0.00119095637832928,0.06752647793161,0.000821965609821735,0.00936660122380138,0.0206969344639851,0.0100957504654439,0.0137491350644742,0.00685910998062387,0.00102999772813445,0.0213163067772081,0.12912806066905,0.00218802505367378,0.502655597401167,0.00111449308070618,0.000907317346393785,0.0424643373818408,0.00152362006945814,0.0159743857413448,0.0532400845940496,0.0446037573632954,0.00309238175288942,0.0171629680712275,0.000505375499018893,0.270912389429728,0.0012045967678691,0.000128940802560234,0.108302667476238,0.116944620440485
"MMT00000212",0.0120361773913106,0.112654298550534,0.000437289913879398,0.00481153809004368,0.0203072767630459,0.00864275366701781,0.0448942133378357,0.00122671643340422,0.0691043273648825,0.999999999999999,0.162006485690197,0.00356158523038661,0.00873961500039504,0.0289686534688346,0.000411846388887099,0.00452011616277909,0.0426295072752226,0.0023450911870796,0.0532978739867283,0.0313695980723669,0.00926504963065918,0.13624981745025,0.000513929515660848,0.0041984764683564,0.00127432448700328,0.0559720303974234,0.00155184350540977,0.00663898612953449,0.0466506905197855,0.0218753321639982,0.0454426285745165,0.00269714527771684,0.00944012571875569,0.0010095933622424,0.039882601439865,0.00485592866863531,0.0124690285512293,0.0364210231642071,0.00708872543392127,0.00201091057431984,0.106835840182568,0.00859783617403222,0.0371293547805279,0.00117265431793163,0.00197461287216408,0.0310612607700074,0.00166528231513829,0.000688970404021769,0.0370548071373621,0.00388451356264031,0.00094068723639993,0.0121586714965601,0.00770554541498403,0.000721613522292055,0.137804772675893,0.00634869445870173,0.00465266398171324,0.00334887191093873,0.00807773070331818,0.000522374889646045,0.0170668355505471,0.152095625710688,0.10936132752354,0.00390698612449609,0.0244890403763679,0.00115048817890551,0.0120917381823178,0.00260845819884486,0.00385157625297079,0.000537040934810984,0.00198939173683154,0.022440760430801,0.0157159052388357,0.00592179094756377,0.00172593286651218,0.0214036388427477,0.190764387647357,0.0164369442166747,0.0128951288918982,0.00309734111384353,0.00903020855688069,0.0191582415271307,0.0435188626584083,0.00297896920357797,0.0545563942145296,0.00316100637077857,0.00728531434988311,0.0151615896118366,0.000688010241647205,0.0161704492658182,0.00853637798974452,0.154749720802926,0.0111910641852271,0.0197547298201533,0.00231881857686279,0.0389293144507171,0.00199245692188094,0.000406287094641839,0.00818193988086385,0.0827467614821956
